sampleID,libPrepAlias,analysisAlias,TCAPbatch,SpeciesID,SamplingState,SampleSite,Collection,WNSgroup,RecapStatus,CollectionDate,InitialCaptureDate,CaptureAge,BandNum,Sex,Collector,Notes,SpeciesPfx,Location,LocationNumber,LocationOrder
CP16-0416,tcap188,LUpost-tcap188,3,MYLU,NY,unknown,NYDEC,post,NA,9/27/2017,NA,NA,NA,NA,Sam Hoff,NA,LU,NY-unknown,16,16
CP16-0492,tcap140,LUpost-tcap140,3,MYLU,NY,HailesCave,NYDEC,post,Y,10/4/2017,8/30/2016,A,66214,F,Sam Hoff,NA,LU,NY-HailesCave,11,11
CP16-0489,tcap181,LUpost-tcap181,3,MYLU,NY,HailesCave,NYDEC,post,Y,10/4/2017,9/17/2015,A,71678,M,Sam Hoff,NA,LU,NY-HailesCave,11,11
NYLI0092017,tcap106,SEpost-tcap106,3,MYSE,NY,SagHarbor,NYDEC,post,NA,10/18/2017,NA,NA,NA,F,Sam Hoff,NA,SE,NY-SagHarbor,13,13
NYLI0082017,tcap108,SEpost-tcap108,3,MYSE,NY,SagHarbor,NYDEC,post,NA,10/18/2017,NA,NA,NA,F,Sam Hoff,NA,SE,NY-SagHarbor,13,13
NYLI0072017,tcap150,SEpost-tcap150,3,MYSE,NY,SagHarbor,NYDEC,post,NA,10/18/2017,NA,NA,NA,M,Sam Hoff,NA,SE,NY-SagHarbor,13,13
18,tcap153,SEpost-tcap153,3,MYSE,MA,Nantucket,NYDEC,post,N,10/18/2017,NA,A,17989,F,Sam Hoff,NA,SE,MA-Nantucket,4,4
19,tcap155,SEpost-tcap155,3,MYSE,MA,Nantucket,NYDEC,post,N,10/18/2017,NA,A,17990,F,Sam Hoff,NA,SE,MA-Nantucket,4,4
NYLI0062017,tcap163,SEpost-tcap163,3,MYSE,NY,SagHarbor,NYDEC,post,NA,10/18/2017,NA,NA,NA,M,Sam Hoff,NA,SE,NY-SagHarbor,13,13
16,tcap173,SEpost-tcap173,3,MYSE,MA,Nantucket,NYDEC,post,N,10/18/2017,NA,A,17992,M,Sam Hoff,NA,SE,MA-Nantucket,4,4
13,tcap178,SEpost-tcap178,3,MYSE,MA,Nantucket,NYDEC,post,N,10/18/2017,NA,A,17995,M,Sam Hoff,NA,SE,MA-Nantucket,4,4
14,tcap186,SEpost-tcap186,3,MYSE,MA,Nantucket,NYDEC,post,N,10/18/2017,NA,A,17994,M,Sam Hoff,NA,SE,MA-Nantucket,4,4
17,tcap187,SEpost-tcap187,3,MYSE,MA,Nantucket,NYDEC,post,N,10/18/2017,NA,A,17991,F,Sam Hoff,NA,SE,MA-Nantucket,4,4
15,tcap193,SEpost-tcap193,3,MYSE,MA,Nantucket,NYDEC,post,N,10/18/2017,NA,A,17993,M,Sam Hoff,NA,SE,MA-Nantucket,4,4
NYLI0102017,tcap129,SEpost-tcap129,3,MYSE,NY,SagHarbor,NYDEC,post,NA,10/19/2017,NA,NA,NA,F,Sam Hoff,NA,SE,NY-SagHarbor,13,13
21,tcap166,SEpost-tcap166,3,MYSE,MA,Nantucket,NYDEC,post,N,10/20/2017,NA,A,17987,M,Sam Hoff,NA,SE,MA-Nantucket,4,4
20,tcap172,SEpost-tcap172,3,MYSE,MA,Nantucket,NYDEC,post,N,10/20/2017,NA,A,17988,M,Sam Hoff,NA,SE,MA-Nantucket,4,4
23,tcap180,SEpost-tcap180,3,MYSE,MA,Nantucket,NYDEC,post,N,10/20/2017,NA,A,17984,M,Sam Hoff,NA,SE,MA-Nantucket,4,4
22,tcap194,SEpost-tcap194,3,MYSE,MA,Nantucket,NYDEC,post,N,10/20/2017,NA,A,17986,M,Sam Hoff,NA,SE,MA-Nantucket,4,4
europe.2527,tcap003,europe-tcap003,3,MYDA,Europe,Huovintie,TLIL,europe,NA,7/22/2014,NA,A,NA,F,Thomas Lilley,NA,europe,Europe-Huovintie,1,1
europe.2528,tcap119,europe-tcap119,3,MYDA,Europe,Huovintie,TLIL,europe,NA,7/22/2014,NA,A,NA,F,Thomas Lilley,NA,europe,Europe-Huovintie,1,1
europe.2531,tcap151,europe-tcap151,3,MYDA,Europe,Huovintie,TLIL,europe,NA,7/22/2014,NA,J,NA,F,Thomas Lilley,NA,europe,Europe-Huovintie,1,1
europe.2534,tcap152,europe-tcap152,3,MYDA,Europe,Huovintie,TLIL,europe,NA,7/22/2014,NA,J,NA,M,Thomas Lilley,NA,europe,Europe-Huovintie,1,1
europe.2530,tcap171,europe-tcap171,3,MYDA,Europe,Huovintie,TLIL,europe,NA,7/22/2014,NA,A,NA,F,Thomas Lilley,NA,europe,Europe-Huovintie,1,1
europe.2525,tcap179,europe-tcap179,3,MYDA,Europe,Huovintie,TLIL,europe,NA,7/22/2014,NA,J,NA,F,Thomas Lilley,NA,europe,Europe-Huovintie,1,1
